#threads,exec_time,speedup
1S,0.018305,1
1,0.007243,2.527267
2,0.008920,2.052130
3,0.008150,2.246012
4,0.007582,2.414270
5,0.008441,2.168581
6,0.007051,2.596085
7,0.006962,2.629273
8,0.007205,2.540596
