#threads,exec_time,speedup
1S,7.092740,1
1,2.665888,2.660554
2,3.155066,2.248048
3,2.590030,2.738477
4,3.280435,2.162133
5,2.499170,2.838038
6,3.376414,2.100672
7,3.301340,2.148442
8,2.625510,2.701471
