#threads,exec_time,speedup
1S,0.637527,1
1,0.285339,2.234279
2,0.251562,2.534273
3,0.263455,2.419870
4,0.415220,1.535395
5,0.411488,1.549321
6,0.422671,1.508329
7,0.411756,1.548312
8,0.379759,1.678767
