#threads,exec_time,speedup
1S,0.378358,1
1,0.201362,1.878994
2,0.203990,1.854786
3,0.216112,1.750749
4,0.210809,1.794790
5,0.213419,1.772841
6,0.211070,1.792571
7,0.260872,1.450358
8,0.302724,1.249844
