#threads,exec_time,speedup
1S,3.921535,1
1,1.628554,2.407985
2,1.851048,2.118548
3,1.958405,2.002412
4,1.543189,2.541189
5,1.941114,2.020249
6,2.265668,1.730851
7,2.192159,1.788891
8,2.217985,1.768062
