#threads,exec_time,speedup
1S,0.048041,1
1,0.017120,2.806133
2,0.015923,3.017082
3,0.015182,3.164339
4,0.016569,2.899450
5,0.018987,2.530204
6,0.017377,2.764631
7,0.019037,2.523559
8,0.019372,2.479919
