#threads,exec_time,speedup
1S,0.026317,1
1,0.010658,2.469224
2,0.009464,2.780748
3,0.012062,2.181810
4,0.012056,2.182896
5,0.011337,2.321337
6,0.010815,2.433379
7,0.011375,2.313582
8,0.010534,2.498291
