#threads,exec_time,speedup
1S,0.205453,1
1,0.112622,1.824270
2,0.105488,1.947643
3,0.107697,1.907694
4,0.122718,1.674187
5,0.121130,1.696136
6,0.092008,2.232990
7,0.127821,1.607349
8,0.121651,1.688872
