#threads,exec_time,speedup
1S,0.059834,1
1,0.026573,2.251684
2,0.025542,2.342573
3,0.026331,2.272378
4,0.027465,2.178554
5,0.027443,2.180300
6,0.028685,2.085898
7,0.025792,2.319866
8,0.027817,2.150986
