#threads,exec_time,speedup
1S,0.035081,1
1,0.014154,2.478521
2,0.014916,2.351903
3,0.016583,2.115479
4,0.015446,2.271202
5,0.012530,2.799760
6,0.015051,2.330808
7,0.016511,2.124704
8,0.018169,1.930816
